,Name,Price,Reviews,Description
193,Flat in Mumbai,"₹27,845",NA,"Urban Stay - Stylish & Spacious
The ClassiK Studio"
194,Flat in Bandra West,"₹28,570",4.92,"Swank @ The Park, Bandra West (Studio Apartment)"
195,Flat in Andheri East,"₹14,830",4.78,#5 Spacious Home away from home near Airport
196,Room in Mumbai,"₹25,677",4.97,Nature lodge w/balcony/garden
197,Flat in Mumbai,"₹37,767",5,Roseripple - Where Comfort Meets Class
198,Flat in Juhu,"₹28,476",4.78,403 Wabi Sabi Studio Apartment Juhu
199,Home in Khar West,"₹22,253",4.79,Bandra’s Cozy Studio With Sitout
200,Room in Matunga East,"₹14,659",4.97,Overnight /Shortstay Pad near Freeway [solo guest]
201,Shared room in Khar West,"₹9,244",4.92,Nani Ka Ghar – The Cloud Bunk (WOMEN ONLY)
202,Apartment in Juhu,"₹42,766",5,Modern Apartment in Juhu - 5 mins frm Silver Beach
203,Place to stay in Andheri East,"₹11,698",5,Cozy Stay in a budget price
204,Room in Ghatkopar West,"₹12,950",5,Stay @ Bright Cozy Private Room
205,Flat in Malad East,"₹24,821",4.97,Petite elegance suite near nesco
206,Flat in Bandra West,"₹41,466",4.96,Bayside - 1BHK w/ Balcony & Workspace - Khar West
207,Apartment in Mumbai,"₹24,675",NA,City Getaway Sunset View Bath Tub 55 TV Top Floor
208,Shared room in Santacruz East,"₹6,121",4.87,1 bed in 8 Bed Mixed Dorm G Floor Nap Manor Hostel
209,Flat in Goregaon West,"₹22,425",4.76,The Summer Suite - Studio Apartment
210,Flat in Mumbai,"₹22,482",5,Modern Studio Hideaway in Chembur
211,Place to stay in Khar West,"₹10,157",4.82,Nani ka ghar - Susegad Canopy (WOMEN ONLY)
212,Apartment in Bandra West,NA,4.78,Dido Cozy 1BHK in Trendy Bandra – Stylish Stay
213,Cottage in Bandra West,"₹39,599",5,Private Cottage Stay @ Bandra West
214,Home in Andheri West,"₹19,401",4.65,Executive room no. 6
215,Flat in Khar East,"₹62,879",5,Apartment to stay in BKC-Bandra.Airport nearby
216,Room in Andheri West,"₹16,525",4.83,Priv. Room in upscale 2.5 BHK Apt - Lokhandwala
217,Flat in Mumbai,"₹34,533",5,The South spice
218,Flat in Goregaon West,"₹32,654",4.93,The Golden Hour Home
219,Flat in Bandra West,"₹34,800",4.89,The SkyLoft Bandra Modern 1BHKwith PaidParking
220,Flat in Bandra West,"₹31,212",4.91,Entire 1bhk aptmnt in the heart of Bandra.
221,Room in Bandra West,"₹18,431",4.97,The White Room in Bandra West
222,Room in Andheri East,"₹8,902",4.65,A private room wid attach washroom  in 1BHK flat
223,Room in Mumbai,"₹10,271",4.75,KaSa Homes 802 MAHIM 5 Shared Rooms in a 5BHK
224,Flat in Mumbai,"₹27,640",NA,The Yellow Couch • Suave 1bhk • 4 min @ Juhu beach
225,Flat in Khar West,NA,4.7,Sofia 1BHK Khar W by The Bombay Home Company
226,Flat in Khar West,NA,4.7,Imperial E Studio Khar W The Bombay Home Company
227,Flat in Mumbai,"₹45,976",5,Beige Bandra Backpackers Burrow -1 RK
228,Room in Andheri West,"₹5,192",4.83,"my bedroom VIBE(lokhandwala,dn nagr metro,andheri"
229,Apartment in Mumbai,"₹21,683",NA,Ishiyanaa
230,Room in Chandivali,"₹16,262",4.98,A homestay ONLY for WOMEN!
231,Apartment in ONGC Colony Bandra West,"₹17,689",4.74,The Eva Studio-Live & Work at a Modern 1BHK@Bandra
232,Room in Goregaon,"₹7,983",4.8,Relaxing Home stay for families.
233,Shared room in Khar West,"₹12,839",4.68,Nani Ka Ghar – The Eagle's Nest (WOMEN ONLY)
234,Flat in Mumbai,"₹58,195",NA,Iris By Vio Living 2 BHK Apt in Powai
235,Flat in Santacruz East,NA,4.71,Tuscany | Stylish 1 BHK in Prime Gated BKC Spot
236,Apartment in Ville Parle East,"₹15,977",4.83,Dighe's HomeStay
237,Flat in Bandra West,"₹1,02,699",5,Zen Private 3BHK in Bandra
238,Flat in Santacruz East,"₹42,789",4.86,"Boho, Breezy, Sun-Kissed 2bhk near BKC & Airport"
239,Apartment in Ville Parle East,"₹30,843",4.65,Lovely 2 Bhk apartment
240,Flat in Juhu,"₹18,225",4.76,Cosy & Urbane Studio Apartment
241,Room in Khar West,"₹58,000",4.93,Ivory room with sea breeze in Bandra West
242,Flat in Juhu,"₹27,332",4.68,Bloom - Entire Studio Near Juhu
243,Place to stay in Mumbai,NA,4.88,Private Room with Attach Bath near BKC & airport
244,Apartment in Sakinaka,"₹34,590",4.86,Luxury 1 Bedroom Apartment - 2 Mins from  airport
245,Flat in Bandra West,"₹42,471",4.88,Cozy Homes - Residency 1 BHK Bandra W 9th Floor
246,Room in Juhu,"₹29,431",4.89,Airbnb-Mumbai-india/boho connection
247,Flat in Goregaon,"₹11,481",4.6,Cozy and beautiful studio apartment with lake view
